EmployeeKey,FullNameAr,JobTitle,BranchKey,HireDate,MonthlyTarget,PhoneNumber,Email
23,نوف آل سعود,أخصائي مخزون,4.0,2023-09-18,0,266.629.9468,sdqy69@example.net
24,لورين الشايع,مشرف مبيعات,5.0,2024-10-14,0,638.572.1489x513,skhal-lskry@example.org
25,المهندسة ابتكار العجلان,أخصائي مخزون,3.0,2023-01-16,0,(993)267-6320x16328,zkhrljln@example.org
26,المهندسة هايدي حجار,مندوب مبيعات,2.0,2025-05-29,0,979-586-8727x74348,mswd14@example.org
27,روفيدا المهنا,مدير فرع,2.0,2023-02-27,0,822-736-2316,dldbg@example.org
28,المهندسة أريج بقشان,كاشير,3.0,2023-10-15,0,(670)854-6688x9373,yal-lskry@example.com
29,الأستاذة لورين آل سعود,مدير فرع,4.0,2024-11-05,0,+1-280-669-9016x272,nbw-dwwd@example.com
30,سلاف آل معيض,مشرف مبيعات,2.0,2023-05-23,0,001-564-217-0805x31003,tywbal-swd@example.com
31,ودود آل علي,مدير فرع,5.0,2024-11-05,0,645.829.9124x190,eal-tf@example.net
32,الأستاذ عدنان مهنا,أخصائي مخزون,1.0,2024-12-08,0,+1-819-905-8651x850,lrshdfkry@example.net
33,المهندس شامخ المغاولة,أخصائي مخزون,4.0,2023-12-16,0,+1-949-587-7694x5314,nbqshn@example.net
34,أسرار العليان,مشرف مبيعات,3.0,2023-08-12,0,327-535-4549x48083,jllyn@example.org
35,السيدة لاما آل العسكري,كاشير,2.0,2024-12-08,0,743-863-4957,fkhr-ldwyn74@example.com
36,الأستاذ شوقي أبو داوود,مندوب مبيعات,4.0,2023-01-26,0,682-333-7498,trysal-wd@example.com
37,أحلام المهنا,كاشير,1.0,2022-10-06,0,(240)608-4271,clqyl@example.com
38,عاطف العقيل,مندوب مبيعات,5.0,2022-10-14,0,616-371-9022,rhyflmhydb@example.com
39,المهندس معارف الشايع,مشرف مبيعات,3.0,2024-07-30,0,496-549-9091x3341,hythmal-jfr@example.org
40,السيدة يارا العقيل,أخصائي مخزون,4.0,2022-01-05,0,503-444-7134x9361,smh10@example.org
41,يارا بقشان,مندوب مبيعات,1.0,2025-05-16,0,271-874-6488x7719,khls40@example.org
42,عبد الرّؤوف بقشان,مدير فرع,5.0,2022-12-22,0,9273874296,aljfly@example.com
43,سلمان الجابر,مدير فرع,5.0,2023-05-14,0,(274)968-0715x45168,mal-bn-lfy@example.net
44,السيدة أناهيد آل علي,مندوب مبيعات,3.0,2023-07-17,0,282-847-7109x324,al-wdrdy@example.com
45,المهندس عبد الواحد المشاولة,مدير فرع,5.0,2022-07-02,0,001-446-377-3782x639,mzn58@example.com
46,ربى بن لادن,أخصائي مخزون,4.0,2022-01-04,0,001-872-978-7558,shhb39@example.com
47,الآنسة روفيدا العقيل,مدير فرع,1.0,2022-12-29,0,001-366-927-0289x517,al-sltnmmwn@example.net
48,منيع آل محمد بن علي بن جماز,كاشير,5.0,2022-08-28,0,696-515-8657x80913,lrshdrny@example.net
49,مشرق آل صفوان,كاشير,1.0,2024-12-29,0,001-840-405-0455x623,shkral-hsyn@example.net
50,المهندس يعرب آل سلطان,أخصائي مخزون,4.0,2023-08-18,0,474.374.0748,lljfly@example.com
51,الدكتورة لتين أبا الخيل,مشرف مبيعات,1.0,2024-09-19,0,667.613.6959,knwknr@example.com
52,مُنير آل مقطة,مدير فرع,1.0,2022-01-13,0,001-739-453-3942x10470,al-mqtmrw@example.net
53,الدكتور زهير المهنا,كاشير,2.0,2023-10-08,0,(488)542-4745x171,xlmhydb@example.org
54,الآنسة حلا المهنا,مندوب مبيعات,4.0,2025-05-13,0,975-249-6513,syl31@example.net
55,عتاب آل رفيع,مندوب مبيعات,5.0,2023-12-23,0,(400)847-1138,qlhjr@example.net
56,المهندسة بنفسج الدباغ,كاشير,4.0,2024-12-17,0,+1-317-796-4053x7735,khldy64@example.org
57,الآنسة جمان فصيل,أخصائي مخزون,5.0,2022-07-09,0,+1-590-505-3293x1839,srj90@example.com
58,السيد شافع آل رفيع,أخصائي مخزون,1.0,2022-08-13,0,+1-302-305-3950x24026,xlshy@example.com
59,معتوق المشاولة,أخصائي مخزون,3.0,2024-03-08,0,890.884.7007,llynmdh@example.com
60,علي حجار,مدير فرع,5.0,2022-04-25,0,(612)949-9856,yal-khdyr@example.net
61,المهندس معتوق آل عواض,مدير فرع,3.0,2022-06-27,0,(357)366-1565x45271,lrshdrmz@example.net
62,بشرى المهيدب,مشرف مبيعات,3.0,2025-02-21,0,2986851656,fkhr-ldwyn19@example.net
63,المهندس ضياء الدّين آل خضير,مندوب مبيعات,1.0,2022-11-27,0,(285)614-9368x998,al-ydbd-lrwshyd@example.net
64,ريفال الجفالي,مندوب مبيعات,2.0,2025-03-30,66301,5228961201,vljln@example.org
65,ريتاج بقشان,مندوب مبيعات,2.0,2023-07-29,0,+1-910-822-9014x767,slh81@example.com
66,عبد القدّوس مهنا,مندوب مبيعات,1.0,2023-10-30,0,+1-497-684-0369x00343,myr10@example.com
67,الأستاذة بشرى الحكير,مندوب مبيعات,2.0,2025-03-06,32058,+1-238-985-1606,bw-dwwdysr@example.com
68,السيدة ديمه آل رفيع,مندوب مبيعات,2.0,2024-06-09,45597,(805)329-7516x1369,vb-lkhyl@example.com
69,بوران آل جعفر,كاشير,2.0,2022-12-11,0,418.383.5523x12432,bhllyn@example.com
70,المهندسة ريان شربتلي,أخصائي مخزون,4.0,2025-03-17,0,927-917-7449x05814,al-bn-lfyfywd@example.com
71,ناعم الحكير,مشرف مبيعات,4.0,2022-04-30,0,298.907.9359x782,ljbrmrym@example.org
72,الأستاذ عابد الشايع,مندوب مبيعات,3.0,2024-02-23,0,288.792.5546x659,ljbrrf@example.net
73,الدكتورة جوليا كانو,مشرف مبيعات,5.0,2024-11-19,0,+1-625-819-2546x291,zglwl81@example.net
74,المهندسة زهرة آل العسكري,مندوب مبيعات,,2024-11-07,0,(342)235-7332x214,btl29@example.com
75,الدكتور سنام الشايع,مندوب مبيعات,5.0,2022-08-28,0,5656379473,xal-tf@example.net
76,السيدة دانية الحكير,مدير فرع,1.0,2024-06-05,0,386.623.9240x75818,al-sfwnbd-lrwshyd@example.com
77,المهندس راشد آل عواض,كاشير,1.0,2024-03-08,0,550.260.6853x615,rwy52@example.org
78,لوليا آل سعود,مشرف مبيعات,4.0,2022-03-01,0,001-377-690-1043x28986,dnnal-rfy@example.org
79,المهندسة لوجين آل جعفر,كاشير,1.0,2023-01-06,0,679-880-8932,hnbwlyfkhry@example.org
80,الأستاذة اصيل المغاولة,أخصائي مخزون,1.0,2024-06-05,0,(718)688-8806x706,ljflykhlyl@example.com
81,يسار الجابر,مندوب مبيعات,1.0,2023-01-10,65427,(405)385-2772,sal-bn-zfr@example.org
82,الأستاذ عفيف أبا الخيل,كاشير,1.0,2022-03-10,0,868.874.0345x05415,vlhkyr@example.org
83,الدكتورة ميسون آل معيض,مشرف مبيعات,1.0,2024-02-10,0,361-369-2845,d44@example.com
84,الأستاذة لارا الجفالي,مندوب مبيعات,2.0,2024-07-25,0,205.496.4016x582,ial-bn-zfr@example.org
85,زهرة الحكير,مشرف مبيعات,1.0,2023-01-02,0,001-409-727-5571,pbw-dwwd@example.com
86,جلال آل عايض,مشرف مبيعات,2.0,2023-01-23,0,386.481.4473x9473,lshyshdy@example.net
87,علم الدّين كانو,أخصائي مخزون,2.0,2023-11-23,0,(518)484-4225x831,mundlal-lskry@example.com
88,لورين المهيدب,كاشير,5.0,2024-05-10,0,(891)314-6786,qylfsyl@example.org
89,المهندسة ريما آل سعود,مندوب مبيعات,2.0,2023-12-01,0,001-789-522-6801x82422,ndhyr41@example.com
90,بدرالدّجى شربتلي,مندوب مبيعات,4.0,2022-11-01,0,298-218-2992x2995,al-bn-zfrjlnr@example.net
91,المهندس جميل العليان,مندوب مبيعات,5.0,2023-02-16,0,+1-884-947-3647x1027,val-ly@example.net
92,روفيدا الجفالي,أخصائي مخزون,4.0,2022-08-12,0,(425)388-1537x1473,al-mqtkshf@example.net
93,الدكتور عمير بقشان,مندوب مبيعات,1.0,2023-10-12,63281,001-953-527-8774x7016,yrbljfly@example.org
94,ماذى حجار,مندوب مبيعات,1.0,2022-03-20,0,+1-874-280-1624x5650,flhlmhydb@example.com
95,المهندسة لانا المهيدب,مندوب مبيعات,4.0,2022-04-25,45414,599-812-1655x852,al-bn-zfrhsm@example.org
96,ليان المغاولة,أخصائي مخزون,3.0,2025-01-13,0,729.982.5952x694,mws05@example.com
97,ماهر بن لادن,مندوب مبيعات,2.0,2024-11-12,0,809-474-9930x9728,jhdbqshn@example.net
98,الأستاذ مسلم أبو داوود,مندوب مبيعات,4.0,2022-06-20,73081,(926)836-8970x28385,shtr78@example.com
99,حلا حنبولي,مدير فرع,4.0,2024-04-28,0,733.648.4344x3757,zkhr98@example.com
100,بلند آل مقطة,مدير فرع,2.0,2023-09-05,0,6416574733,rsmyhnbwly@example.net
101,الدكتور حمزة كانو,كاشير,2.0,2024-06-30,0,933.901.6571x20826,bd-lmjydbw-dwwd@example.com
102,رازي فصيل,مشرف مبيعات,5.0,2024-09-30,0,001-938-402-6206,hbwb04@example.net
103,غزير آل مقطة,مندوب مبيعات,2.0,2024-07-25,0,988.672.8743x152,thmrljbr@example.com
104,الدكتور لقمان الراشد,أخصائي مخزون,1.0,2024-06-01,0,951.661.2275x30463,dwy99@example.org
105,جواهر آل بن لافي,مندوب مبيعات,1.0,2023-02-11,43969,+1-417-942-6841x45933,mnhjr@example.com
106,المهندسة جميلة آل قصير,مدير فرع,4.0,2023-10-08,0,+1-491-487-8519x10883,nzr71@example.net
107,الآنسة ميرا الشايع,مدير فرع,1.0,2022-11-16,0,9726867908,lkhrfykf@example.org
108,الأستاذ حقّي الراشد,أخصائي مخزون,2.0,2025-03-04,0,(718)801-7046x226,ylhkyr@example.org
109,السيد رهيف آل عايض,أخصائي مخزون,5.0,2024-11-26,0,+1-868-823-0047,bdljln@example.com
110,ترانيم آل رفيع,أخصائي مخزون,1.0,2022-08-29,0,2699033119,al-qsyrhfyz@example.com
111,الدكتور حيدر آل سعود,مندوب مبيعات,2.0,2023-11-13,0,643.695.9953x42836,lmhydbjwn@example.net
112,المهندسة ماذى آل بن لافي,مندوب مبيعات,1.0,2022-09-30,0,(568)556-6246x287,lyn27@example.org
113,السيدة هاجر المغاولة,مدير فرع,5.0,2024-05-23,0,(363)543-5175,al-mydqsyd@example.net
114,داهي آل عطفة,مدير فرع,2.0,2024-07-28,0,001-598-837-3540x33173,hythmbw-dwwd@example.com
115,المهندسة زكية أبا الخيل,مدير فرع,2.0,2023-08-15,0,258-577-1753x556,thqyfal-mhmd-bn-ly-bn-jmz@example.net
116,الدكتورة بنفسج آل عطفة,مندوب مبيعات,4.0,2024-06-26,0,436-493-7854x77725,ial-yd@example.net
117,دريد كانو,مدير فرع,,2022-04-02,0,9067231203,hnbwlytmm@example.net
118,السيدة أروى آل الشيخ,مندوب مبيعات,1.0,2024-08-15,38573,+1-286-800-8484,rzynal-khdyr@example.net
119,الدكتور نصري آل محمد بن علي بن جماز,كاشير,5.0,2022-08-20,0,(246)315-6793x341,ylhkyr@example.net
120,تمّام آل صفوان,مشرف مبيعات,5.0,2024-01-10,0,576-959-1803,hkym14@example.net
121,المهندس عبد الواحد المشاولة,مدير فرع,5.0,2022-07-02,0,001-446-377-3782x639,mzn58@example.com
122,منيع آل محمد بن علي بن جماز,كاشير,5.0,2022-08-28,0,696-515-8657x80913,lrshdrny@example.net
123,السيد حيدر آل عواض,مندوب مبيعات,1.0,2024-05-15,45247,9568413953,qal-sltn@example.org
124,المهندسة بنفسج الدباغ,كاشير,4.0,2024-12-17,0,+1-317-796-4053x7735,khldy64@example.org
125,روفيدا المهنا,مدير فرع,2.0,2023-02-27,0,822-736-2316,dldbg@example.org
126,ريتاج بقشان,مندوب مبيعات,2.0,2023-07-29,0,+1-910-822-9014x767,slh81@example.com
